B,C,D,E,F,G,H,I,J,K,L,N
1,4439.542,4503.940364,401.25,90.39685154,83.60197322,90.12172753,105.2992161,-9.60314846,63.54250315,132.0420085,4632.94
1,4479.859,4539.452727,278.47,88.3370414,88.76894692,88.64372664,114.4258278,-11.6629586,40.51906122,101.8320276,4634.86
1,4514.088,4579.238364,401.53,97.27232111,91.42076148,87.14326019,121.3232696,-2.727678886,17.32377539,106.7011392,4698.68
1,4561.263,4625.567818,386.33,97.53278876,95.2939402,100,130.5285252,-2.467211241,23.52358304,122.829246,4768.9
1,4607.933,4677.932727,447.22,97.75290373,95.28414406,100,142.001925,-2.247096271,14.55488804,138.122101,4849.27
1,4645.931,4709.586727,328.79,75.59729064,93.58151571,86.92998484,153.6431437,-24.40270936,87.69639301,109.9086321,4782.03
1,4686.133,4747.646545,400.18,90.24338127,92.69418912,87.46691519,157.6863426,-9.756618731,9.79177955,90.8004885,4855.26
1,4729.357,4784.226,334.4,92.47495671,92.76248068,88.13523433,164.3016737,-7.525043291,60.87958858,110.1449369,4887.32
1,4767.118,4820.802909,299.14,95.28777341,92.37768637,86.8694956,170.3314536,-4.71222659,39.2527288,114.7730163,4930.53
1,4789.146,4836.176,218.73,72.69257174,89.75878803,71.4915704,174.7909872,-27.30742826,88.46188062,70.16383036,4851.67
1,4801.424,4830.098545,120.86,46.34353975,85.35345685,60.11567361,169.7543048,-53.65646025,81.53755792,-14.29866632,4755.72
1,4812.058,4819.148727,42.52,31.80090321,79.69984303,58.5830051,157.4005959,-68.19909679,62.83103126,-78.45491245,4741.2
1,4807.031,4789.394545,-120.49,4.272477151,70.39985864,46.12383376,143.6345057,-95.72752285,88.83840053,-159.9307255,4648.41
1,4805.878,4780.365273,-91.9,44.88193457,65.13477322,49.16107627,126.7363811,-55.11806543,8.523715644,-106.932732,4757.37
1,4801.179,4779.711091,20.25,57.65860597,61.12534344,46.39497952,119.8158032,-42.34139403,74.70537511,1.054269052,4802.28
1,4792.804,4761.002182,-156.98,28.07112376,56.37272675,43.91784921,114.4510469,-71.92887624,92.66150283,-64.91143019,4698.28
1,4778.058,4745.546909,-179.52,30.77951636,50.42634026,38.19904606,102.2938049,-69.22048364,49.25609756,-74.72354607,4707.8
1,4763.736,4739.372727,-186.43,41.10668563,45.28951316,38.6156243,92.75100642,-58.89331437,5.524774418,-47.44767648,4744.1
